,lyrics
Aqui não, aqui é casal raiz

[Verso]
Faltou dinheiro aqui
Cê tem aí, amor?
Amar é dividir
Não é vergonha, não
Aqui é parceria
Isso que é relação

[Pré-Refrão]
Ela toma cachaça comigo
Não reclama da roupa no chão
Se ela bebe, sou eu que dirijo
Espero ela no salão
Agora pense aí num casalzão

[Refrão]
A gente não liga pro que o povo diz
Quem ama também briga, também xinga e sempre volta
Sabe esses casal Nutella, que bloqueia e para de seguir?
Aqui não, aqui é casal raiz
A gente não liga pro que o povo diz
Quem ama também briga, também xinga e sempre volta
Sabe esses casal Nutella, que bloqueia e para de seguir?
Aqui não, aqui é casal raiz
A gente não liga pro que o povo diz
Quem ama também briga...
Sabe esses casal Nutella, que bloqueia e para de seguir?
Aqui não, aqui é casal raiz
A gente não liga pro que o povo diz
Quem ama também briga, também xinga e sempre volta
Sabe esses casal Nutella, que bloqueia e para de seguir?
Aqui não, aqui é casal raiz
Aqui não, aqui é casal raizEmbed"
673,"HOME Lyrics[방탄소년단의 ""HOME"" 가사]

[Intro: RM]
I'm exhausted man
Oh, guess what?
I just wanna go home

[Verse 1: 지민, RM]
미칠듯한 설레임에
인사조차 못했어 (Yeah, right)
Yeah I’m going out baby
온 세상이 내 집
[Verse 2: 뷔, RM]
Crazy for myself (Yeah)
저 문을 열면 뭐든 다 될 것처럼 (Right)
마치 무슨 본때를 보여줄 것처럼 (Uh huh)
집을 나섰지
(이 모든 상상이 다 신기루로 끝나지 않길)

[Verse 3: RM]
Oh yeah I did it, me shine with flashin' lights
Got lotta friends, 고즈넉한 내 공간
그래 기억해 뭐든 다 할 수 있을 것만 같던 때
I saw the ocean yeah 이 문을 열기도 전에
Oh yeah

[Pre-Chorus: 지민, 정국]
뭔가 채울수록 더 비어가
함께일수록 더 혼자인 것 같아
반쯤 감긴 눈, 잠 못 드는 밤
니가 있는 곳

[Chorus: 정국, 진, RM]
아마 그곳이 Mi Casa
With you I'mma feel rich (Yeah)
바로 그곳이 Mi Casa
미리 켜둬 너의 switch (Switch)
Yeah
[Post-Chorus: 지민, 뷔]
말을 안 해도 편안할 거야
너만 있다면 다 내 집이 될 거야
You know I want that
Home
You know you got that
Home

[Refrain: 지민, 정국]
Your love your love your love, I miss that
Your love your love your love, I want that
Your touch your touch your touch, I need that
La la la la la la la la I love it

[Verse 4: 제이홉]
불 꺼진 현관에 내 발이 이상해
눈 감고 이불 안에 있어도 이상해
둥 붕 뜬 기분 빙 도는 두 눈
이 멋진 공간에 나 완전 초라해

[Verse 5: 슈가]
완전 초라해
세상은 우리가 세상을 다 가진 줄 아는군
꿈에 그리던 Big house, big cars, big rings
내가 원한 건 모든 걸 가져도
뭔가 허전한 지금 모든 걸 이룬 자가 느낀 낯선 기분
But 지금 떠나도 돌아올 곳이 있기에 나서는 문
[Bridge: 진]
갈림길에서 자꾸 생각나
볼품없던 날 알아줬던 너
니 생각에 웃을 수 있었어
니가 있는 곳

[Chorus: 지민, 뷔, RM]
아마 그곳이 Mi Casa
With you I’mma feel rich (Rich)
바로 그곳이 Mi Casa
미리 켜둬 너의 switch (Switch)
Yeah

[Post-Chorus: 지민, 뷔]
말을 안 해도 편안할 거야
너만 있다면 다 내 집이 될 거야
You know I want that
Home
You know you got that
Home

[Verse 6: 지민, 진]
그 언젠가
초인종이 세 번 울리면
문을 열어주겠니
미처 못한 인사를 전할 수 있게
그땐 말할게

[Chorus: 정국, 진]
오랜만이야 Mi Casa
With you I just feel rich
다녀왔어 Hi, Mi Casa
켜뒀구나 너의 switch
Yeah

[Post-Chorus: 뷔, 지민, RM]
말을 안 해도 편안하잖아
니가 있어서 나의 집이 된 거야
You know I want that
Home
You know you got that
Home
(Yeah)

[Refrain: 정국, 뷔]
Your love your love your love, I miss that
Your love your love your love, I want that
Your touch your touch your touch, I need that
La la la la la la la la I love it18Embed"
674,"Igual Ela Só Uma Lyrics[Letra de ""Igual Ela Só Uma com Wesley Safadão]

[Verso]
Tá mandando esse olhinho por quê?
Não vê que eu tenho compromisso
Meu status tá valendo o quê?
Cê quer pôr meu namoro em risco

[Pré-Refrão]
Já teve sua oportunidade e não aproveitou
Vacilou, não vingou nosso amor
Agora tá pensando que é só dizer ""vem cá"" que eu vou
[Refrão]
Cê quer ver eu trair meu bem
Nananim nem vem
Igual ela só uma
Igual você tem 100
Cê quer ver eu trair meu bem
Nananim nem vem
Igual ela só uma
Igual você tem 100
Cê quer ver eu trair meu bem
Nananim nem vem
Igual ela só uma
Igual você tem 100
Cê quer ver eu trair meu bem
Nananim nem vem
Igual ela só uma
Igual você tem 100Embed"
675,"Old Town Road Lyrics[Intro]
Yeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
(Kio, Kio)
[Verse 1]
I got the horses in the back
Horse tack is attached
Hat is matte black
Got the boots that's black to match
Ridin' on a horse, ha
You can whip your Porsche
I been in the valley
You ain't been up off that porch, now
[Chorus]
Can't nobody tell me nothin'
You can't tell me nothin'
Can't nobody tell me nothin'
You can't tell me nothin'

[Verse 2]
Ridin' on a tractor
Lean all in my bladder
Cheated on my baby
You can go and ask her
My life is a movie
Bull ridin' and boobies
Cowboy hat from Gucci
Wrangler on my booty

[Chorus]
Can't nobody tell me nothin'
You can't tell me nothin'
Can't nobody tell me nothin'
You can't tell me nothin'

[Outro]
Yeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I got the hor-134Embed"
676,"Dionysus Lyrics[Intro: J-Hope, V]
쭉 들이켜, 술잔 (Sippin’), 팔짱 (Tippin’)
(한 입) 티르소스 (Grippin’) 포도 (Eatin’)
쭉 들이켜, 분위기 (Keep it), D style (Rip it)
(한 입) 여기 (Kill it), let’s steal it, the illest

[Verse 1: RM]
그냥 취해 마치 디오니소스
한 손에 술잔, 다른 손에 든 티르소스
투명한 크리스탈 잔 속 찰랑이는 예술
예술도 술이지 뭐, 마시면 취해 fool
You dunno, you dunno
You dunno, what to do with
내가 보여줄게 난 전혀 다른 걸 추진
아이비와 거친 나무로 된 mic
절대 단 한 숨에
나오는 소리 따윈 없다, woo
[Refrain: Jimin, J-Hope, Jungkook]
해가 뜰 때까지 where the party at?
잠이 들 때까지 where the party at?
Sing it 불러 다시, drink it 마셔 다시
우린 두 번 태어나지

[Pre-Chorus: Jin, J-Hope]
쭉 들이켜 (창작의 고통)
한 입 (시대의 호통)
쭉 들이켜 (나와의 소통)
한 입 (Okay, now I’m ready fo sho)

[Chorus: V, Jimin, J-Hope]
다 마셔 마셔 마셔 마셔 내 술잔 ayy
다 빠져 빠져 빠져 미친 예술가에
한 잔 (One shot), 두 잔 (Two shots)
예술에 취해 불러 옹헤야

[Chorus: Jimin, J-Hope, Jungkook]
다 마셔 마셔 마셔 마셔 내 술잔 ayy
다 빠져 빠져 빠져 미친 예술가에
한 잔 (One shot), 두 잔 (Two shots)
꽹과리 치며 불러 옹헤야

[Post-Chorus: Suga, Jungkook, Jimin]
술잔 (Sippin’), 팔짱 (Tippin’)
티르소스 (Grippin’), 포도 (Eatin’)
분위기 (Keep it), D style (Rip it)
여기 (Kill it), let’s steal it, the illest
[Verse 2: V, Jungkook]
난 지금 세상의 문 앞에 있어
무대에 오를 때 들리는 환호성
Can't you see my stacked broken Thyrsus?
이제 난 다시 태어나네 비로소

[Verse 3: J-Hope]
When the night comes
Mumble, mumble, mumble
When the night comes
Tumble, tumble, tumble
Studio를 채운 저음 저음 저음
Bass drum goes like 덤덤덤 (Yeah)

[Refrain: Jimin, RM, Jungkook]
해가 뜰 때까지 where the party at?
잠이 들 때까지 where the party at?
Sing it 불러 다시, drink it 마셔 다시
우린 두 번 태어나지

[Pre-Chorus: V, RM]
쭉 들이켜 (창작의 고통)
한 입 (시대의 호통)
쭉 들이켜 (나와의 소통)
한 입 (Okay, now I’m ready fo sho)
[Chorus: Jimin, J-Hope]
다 마셔 마셔 마셔 마셔 내 술잔 ayy
다 빠져 빠져 빠져 미친 예술가에
한 잔 (One shot), 두 잔 (Two shots)
예술에 취해 불러 옹헤야

[Chorus: Jin, Jimin]
다 마셔 마셔 마셔 마셔 내 술잔 ayy
다 빠져 빠져 빠져 미친 예술가에
한 잔 (One shot), 두 잔 (Two shots)
꽹과리 치며 불러 옹헤야

[Bridge: Suga]
우리가 떴다 하면 전세계 어디든지 stadium party, ayy
Kpop 아이돌로 태어나 다시 환생한 artist, ayy
다시 환생한 artist, ayy, 다시 환생한 artist, ayy
내가 아이돌이든 예술가이든 뭐가 중요해? 짠해
예술도 이 정도면 과음이지 과음, yeah
새 기록은 자신과 싸움이지 싸움, yeah
축배를 들어올리고 one shot
허나 난 여전히 목말라, what

[Break: RM]
You ready for this?
Are you ready to get hyped up?
Come on

[Chorus: Jimin, Jungkook, J-hope]
다 마셔 마셔 마셔 마셔 내 술잔 ayy
다 빠져 빠져 빠져 미친 예술가에
한 잔 (One shot), 두 잔 (Two shots)
예술에 취해 불러 옹헤야

[Chorus: Jin, V, Jhope]
다 마셔 마셔 마셔 마셔 내 술잔 ayy
다 빠져 빠져 빠져 미친 예술가에
한 잔 (One shot), 두 잔 (Two shots)
꽹과리 치며 불러 옹헤야

[Post-Chorus: Jungkook, RM, Jimin]
술잔 (Sippin’), 팔짱 (Tippin’)
티르소스 (Grippin’), 포도 (Eatin’)
분위기 (Keep it), D style (Rip it)
여기 (Kill it), let’s steal it, the illest

[Outro: Jungkook, J-Hope, Jin]
술잔 (Sippin’), 팔짱 (Tippin’)
티르소스 (Grippin’), 포도 (Eatin’)
분위기 (Keep it), D style (Rip it)
여기 (Kill it), let’s steal it, the illest26Embed"
677,"Best New Weekly EDM/Pop Releases 2019 LyricsWeek 19 – 6/5-12/5
SG Lewis - ""Flames"" feat. Ruel
R3hab & Julie Bergan - ""Don't Give Up On Me Now""
David Guetta - ""Stay (Don't Go Away)"" feat. Raye

Week 18 – 29/4-5/5
BANKS - ""Gimme""
Hayden James & Naations - ""Nowhere To Go""
Off Bloom - ""Am I Insane?""
Week 17 – 22/4-28/4
Tritonal & Evalyn - ""Real""
Osrin - ""Not That Complicated"" feat. Hilda
Zara Larsson - WOW""
Week 16 – 15/4-21/4
Two Friends - ""Dollar Menu"" feat. Dani Poppitt
Kygo & Rita Ora - ""Carry On""
Yaeger - ""I Don't Even Know What I'm Saying""
Week 15 – 8/4-14/4
Peking Duk - ""Ur Eyez""
Avicii - ""SOS"" feat. Aloe Blacc
Seeb - ""Free To Go"" feat. Highasakite

Week 14 – 1/4-7/4
Alison Wonderland - ""Peace""
EMMA WALL - ""Bittersweet""
Week 13 – 25/3-31/3
Flume - ""Friends"" feat. Reo Cragun
Jax Jones & Martin Solveig - ""All Day and Night"" feat. Madison Beer
Martin Garrix, Matisse & Sadko - ""Mistaken"" feat. Alex Aris

Week 12 – 18/3-24/3
KREAM - ""Edit You"" feat. Stela Cole
Flume & HWLS - ""High Beams""
Dynoro & Ina Wroldsen - ""Obsessed""
Week 11 – 11/3-17/3
SG Lewis & Clairo - ""Throwaway""
LSD - ""No New Friends""
Nikki Vianna & Matoma - ""When You Leave""
Week 10 – 4/3-10/3
Tritonal - ""Diamonds"" feat. Rosie Darling
Alesso - ""TIME""
Prince Fox & Ellise - ""Tell Me""
Week 9 – 25/2-3/3
Lemaitre - ""Smoke""
benny blanco, Tainy, Selena Gomez & J Balvin - ""I Can't Get Enough""
KSHMR & Yves V - ""No Regrets"" feat. Krewella

Week 8 – 18/2-24/2
Martin Garrix & BONN - ""No Sleep""
Vincent - ""Can't Help Myself"" feat. Pauline Herr
Alina Baraz - ""Floating"" (Ekali Remix) feat. Khalid

Week 7 – 11/2-17/2
Zedd & Katy Perry - ""365""
Tritonal - ""Hard Pass"" feat. RYANN
Felix Cartal & Lights - ""Love Me""
Week 6 – 4/2-10/2
David Guetta, Brooks & Loote - ""Better When You're Gone""
RL Grime & graves - ""Arcus""
Julian Jordan - ""Need You"" feat. SMBDY

Week 5 – 28/1-3/2
Astrid S - ""Someone New""
Vanic - ""Good On Me"" feat. Olivia Noelle
Broods - ""Everytime You Go I Cry""
Week 4 – 21/1-27/1
Dillon Francis & Alison Wonderland - ""Lost My Mind""
RITUAL & Tove Styrke - ""Love Me Back""
Rudimental - ""Last Time"" feat. Raphaella

Week 3 – 14/1-20/1
Sabrina Carpenter - ""Sue Me"" (Marian Hill Remix)
Sofi Tukker & ZHU - ""Mi Rumba""
The Aston Shuffle & Fabich - ""Stay"" feat. Dana Williams

Week 2 – 7/1-13/1
Grey - ""Want You Back"" feat. LÉON
Vincent & yetep - ""Same Page"" feat. Brooke Daye
Calvin Harris & Rag'n'Bone Man - ""Giant""
Week 1 – 1/1-6/1
Barren Gates & Serion - ""Deep Within""
Lost Kings - ""Don't Kill My High"" feat. Wiz Khalifa & Social House
3LAU - ""Would You Understand"" feat. Carly Paige10Embed"
678,"Dois Corações Lyrics[Verso: Diogo]
Eu era apenas eu, nada demais
Chorava enquanto meu coração escondido ia seguindo os teus sinais
Você era você, tão especial
Me olhava igual sorriso de criança esperando o presente de Natal

[Pré-Refrão: Gabriela]
Vi que era amor
Quando te achei em mim
E me perdi em você
[Refrão: Diogo e Gabriela, Diogo]
Somos verso e poesia
Outono e ventania
Praia e carioca
Somos pão e padaria
Piano e melodia
Filme e pipoca, ah
De dois corações um só se fez
Um que vale mais que dois ou três

[Pós-Refrão: Diogo e Gabriela]
Uh, uh, uh, uh, uh, uh
Oh, oh oh, oh oh, oh oh

[Pré-Refrão: Gabriela]
Vi que era amor
Quando te achei em mim
E me perdi em você

[Refrão: Diogo e Gabriela]
Somos verso e poesia
Outono e ventania
Praia e carioca
Somos pão e padaria
Piano e melodia
Filme e pipoca, ah
De dois corações um só se fez
Um que vale mais que dois ou três
[Pós-Refrão: Diogo e Gabriela]
Uh, uh, uh, uh, uh, uh
Oh, oh oh, oh oh, oh ohEmbed"
679,"Jamais Vu Lyrics[방탄소년단 ""Jamais Vu"" 가사]

[Verse 1: Jin]
또 져버린 것 같아
넌 화가 나 보여
아른대는 game over, over, over

[Verse 2: Jung Kook]
만약 게임이라면
또 load하면 되겠지만
I guess I gotta deal with this, deal with this
Real world
[Verse 3: j-hope]
Ayy, uh
차라리 게임이면 좋겠지
너무 아프니까
I need to heal my medic
But I’m another star
완벽하지 못했던 나를 탓해
Brake in my head, brake in my step, always
그저 잘하고 싶었고
웃게 해주고 싶었는데, damn

[Chorus: Jung Kook, Jin]
Please give me a remedy
멈춰버린 심장을 뛰게 할 remedy
이제 어떻게 해야 해
날 살려줘 다시 기회를 줘
Please give me

[Post-Chorus: Jung Kook]
A remedy, a melody
오직 내게만 남겨질 그 memory
이쯤에서 그만하면
꺼버리면 모든 게 다 편해질까

[Verse 4: Jin]
괜찮지만 괜찮지 않아
익숙하다고 혼잣말했지만
늘 처음인 것처럼 아파
[Verse 5: j-hope]
부족한 gamer, 맞아 날 control 못하지
계속 아파 ‘cause 시행착오와 오만 가지
내 노래 가사, 몸짓 하나
말 한마디 다 내 미시감에 무서워지고
또 늘 도망가려 해
But 잡네, 그래도 네가
내 그림자는 커져가도 내 삶과 넌 equal sign
So 내 remedy는 your remedy

[Chorus: Jin, Jung Kook]
Please give me a remedy
멈춰버린 심장을 뛰게 할 remedy
이제 어떻게 해야 해
날 살려줘 다시 기회를 줘
Please give me a

[Bridge: Jin, Jung Kook]
(Remedy)
또 다시 뛰고, 또 넘어지고
(Honestly)
수없이 반복된대도
난 또 뛸 거라고

[Chorus: j-hope, Jung Kook, Jin]
So give me a remedy
멈춰버린 심장을 뛰게 할 remedy
이제 어떻게 해야 해
날 살려줘 다시 기회를 줘
[Outro: Jung Kook, j-hope]
Please give me a remedy (성공인가? 돌아왔어)
멈춰버린 심장을 뛰게 할 remedy (집중해서 꼭 네게 닿고 말겠어, 떨어지고, 넘어지고)
이제 어떻게 해야 해 (익숙한 아픔이 똑같이 날 덮쳐)
날 살려줘 (이번에도 쉽지 않아)
다시 기회를 줘 (관둘 거냐고? No, no never)
I won’t give up11Embed"
680,"Rapariga Digital Lyrics[Letra de ""Rapariga Digital"" com Naiara Azevedo]

[Verso]
Solta meu braço
A vida é minha, o que quiser fazer, eu faço
Abaixa o tom de voz que eu não sou surda, não
Nem perde o seu tempo dando explicação

[Pré-Refrão]
Logo você, bebê, o rei da esperteza
Deixou o celular desbloqueado na minha mesa
Eu e você já era
Quer conhecer uma pessoa, pega o celular dela
[Refrão]
Essas piriguetes de internet, rapariga digital
Nunca vão superar uma mulher real
Essas piriguetes de internet que todo mundo mordeu
Quer trair, cê trai com uma mais bonita do que eu
Piriguete de internet, rapariga digital
Nunca vão superar uma mulher real
Essas piriguetes de internet que todo mundo mordeu
Quer trair, cê trai com uma mais bonita do que euEmbed"
681,"Brisa Lyrics[Letra de ""Brisa"" com IZA]

[Verso 1]
Sente a vibração que o som chegou
Bota o pé na areia e deixa a onda entrar
Tá geral na pilha, então, demorou
Vem que é da boa e tu vai gostar

[Pré-Refrão]
Eu tô na brisa
E nada me abala
Que delícia
E hoje eu tô de boa
Tô na brisa
E nada me abala
Que delícia
E assim eu canto
[Refrão]
Ye, ye, ye, ye
Ye, ye, ye, ye
Se joga nessa brisa até o dia amanhecer
Ye, yeah, ye, ye
Ye, ye, ye, ye
Se joga nessa brisa até o dia amanhecer

[Pós-Refrão Instrumental]

[Verso 2]
Então passa lá em casa
Tô fazendo vários nadas
Traz o isopor porque hoje a tarde vai dar praia
Presta atenção que hoje a missão
É ficar suave, numa boa, tranquilão

[Pré-Refrão]
Eu tô na brisa
E nada me abala
Que delícia
E hoje eu tô de boa
Tô na brisa
E nada me abala
Que delícia
E assim eu canto
[Refrão]
Ye, ye, ye, ye
Ye, ye, ye, ye
Se joga nessa brisa até o dia amanhecer
Ye, ye, ye, ye
Ye, ye, ye, ye
Se joga nessa brisa até o dia amanhecer

[Pós-Refrão Instrumental]

[Pré-Refrão]
Eu tô na brisa
E nada me abala
Que delícia
E hoje eu tô de boa
Tô na brisa
E nada me abala
Que delícia
E assim eu canto

[Refrão]
Ye, ye, ye, ye
Ye, ye, ye, ye
Se joga nessa brisa até o dia amanhecer
Ye, ye, ye, ye
Ye, ye, ye, ye
Se joga nessa brisa até o dia amanhecer
Ye, ye, ye, ye
Ye, ye, ye, ye
Se joga nessa brisa até o dia amanhecer
Ye, ye, ye, ye
Ye, ye, ye, ye
Se joga nessa brisa até o dia amanhecer
[Pós-Refrão Instrumental]

[Saída]
Eu tô na brisa2Embed"
682,"Pinguço Lyrics[Letra de ""Pinguço"" com Jefferson Moraes]

[Verso]
Aprendi a cozinhar
Virei seu Masterchef particular
Virei humorista pra te ver de bom humor
Virei borracheiro quando seu pneu furou
Mas aí você me deixou...

[Refrão]
E eu virei pinguço de boteco vagabundo
Meu novo endereço é na calçada
E a companhia é um cachorro vira-lata
E eu virei pinguço de boteco vagabundo
Meu novo endereço é na calçada
E a companhia é um cachorro vira-lata
Enquanto eu viro lata
[Verso]
Aprendi a cozinhar
Virei seu Masterchef particular
Virei humorista pra te ver de bom humor
Virei borracheiro quando seu pneu furou
Mas aí você me deixou...

[Refrão]
E eu virei pinguço de boteco vagabundo
Meu novo endereço é na calçada
E a companhia é um cachorro vira-lata
E eu virei pinguço de boteco vagabundo
Meu novo endereço é na calçada
E a companhia é um cachorro vira-lata
E eu virei pinguço de boteco vagabundo
Meu novo endereço é na calçada
E a companhia é um cachorro vira-lata
Enquanto eu viro lata
Enquanto eu viro lataEmbed"
683,"Formation Lyrics[Intro: Messy Mya]
What happened at the New Wil'ins?
Bitch, I'm back by popular demand

[Refrain: Beyoncé]
Y'all haters corny with that Illuminati mess
Paparazzi, catch my fly and my cocky fresh
I'm so reckless when I rock my Givenchy dress (Stylin')
I'm so possessive so I rock his Roc necklaces
My daddy Alabama, momma Louisiana
You mix that negro with that Creole, make a Texas bama
I like my baby heir with baby hair and afros
I like my negro nose with Jackson Five nostrils
Earned all this money, but they never take the country out me
I got hot sauce in my bag, swag
[Interlude: Messy Mya & Big Freedia]
Oh yeah, baby, oh yeah I, oh, oh, yes, I like that
I did not come to play with you hoes, haha
I came to slay, bitch
I like cornbreads and collard greens, bitch
Oh, yes, you besta believe it
[Refrain: Beyoncé]
Y'all haters corny with that lluminati mess
Paparazzi, catch my fly and my cocky fresh
I'm so reckless when I rock my Givenchy dress (Stylin')
I'm so possessive so I rock his Roc necklaces
My daddy Alabama, momma Louisiana
You mix that negro with that Creole, make a Texas bama
I like my baby heir with baby hair and afros
I like my negro nose with Jackson Five nostrils
Earned all this money but they never take the country out me
I got hot sauce in my bag, swag

[Chorus: Beyoncé]
I see it, I want it, I stunt; yellow bone-it
I dream it, I work hard, I grind 'til I own it
I twirl on them haters, albino alligators
El Camino with the seat low, sippin' Cuervo with no chaser
Sometimes I go off (I go off), I go hard (I go hard)
Get what's mine (Take what's mine), I'm a star (I'm a star)
'Cause I slay (Slay), I slay (Hey), I slay (Okay), I slay (Okay)
All day (Okay), I slay (Okay), I slay (Okay), I slay (Okay)
We gon' slay (Slay), gon' slay (Okay), we slay (Okay), I slay (Okay)
I slay (Okay), okay (Okay), I slay (Okay), okay, okay, okay, okay
Okay, okay, ladies, now let's get in formation, 'cause I slay
Okay, ladies, now let's get in formation, 'cause I slay
Prove to me you got some coordination, 'cause I slay
Slay trick, or you get eliminated
[Verse: Beyoncé]
When he fuck me good, I take his ass to Red Lobster, 'cause I slay
When he fuck me good, I take his ass to Red Lobster, we gon slay
If he hit it right, I might take him on a flight on my chopper, I slay
Drop him off at the mall, let him buy some J's, let him shop up, 'cause I slay
I might get your song played on the radio station, 'cause I slay
I might get your song played on the radio station, 'cause I slay
You just might be a black Bill Gates in the making, 'cause I slay
I just might be a black Bill Gates in the making

[Chorus: Beyoncé]
I see it, I want it, I stunt; yellow bone-it
I dream it, I work hard, I grind 'til I own it
I twirl on my haters, albino alligators (Twirl)
El Camino with the seat low, sippin' Cuervo with no chaser
Sometimes I go off (I go off), I go hard (I go hard)
Take what's mine (Take what's mine), I'm a star (I'm a star)
'Cause I slay (Slay), I slay (Hey), I slay (Okay), I slay (Okay)
I slay (Okay), I slay (Okay), I slay (Okay), I slay (Okay)
We gon' slay (Slay), gon' slay (Okay), we slay (Okay), I slay (Okay)
I slay (Okay), okay (Okay), I slay (Okay), okay, okay, okay, okay
Okay, okay, ladies, now let's get in formation, I slay
Okay, ladies, now let's get in formation, 'cause I slay
Prove to me you got some coordination, 'cause I slay
Slay trick, or you get eliminated, I slay
[Bridge: Beyoncé]
Okay, ladies, now let's get in formation, I slay
Okay, ladies, now let's get in formation
You know you that bitch when you cause all this conversation
Always stay gracious, best revenge is your paper

[Outro]
Girl, I hear some thunder
Golly, look at that water, boy, oh Lord234Embed"
684,"New Music Friday 04/19/19 LyricsSZA - Power is Power (feat. SZA, The Weeknd, Travis Scott) - from For The Throne (Music Inspired by the HBO Series Game of Thrones)
Beyoncé - Before I Let Go - Homecoming Live Bonus Track
Kygo - Carry On
French Montana - Slide (feat. Blueface & Lil Tjay)
Madonna - Medellín (with Maluma)
Lil Dicky - Earth
Lizzo - Soulmate
Beck - Saw Lightning
The Boyboy West Coast - U Was At The Club (Bottoms Up)
Beyoncé - I Been On - Homecoming Live
Daddy Yankee - Con Calma - Remix
Aries - BAD NEWS
Carly Rae Jepsen - Julien
Four Tet - Teenage Birdsong
Salvatore Ganacci - Horse
Jaden - Beautiful Disruption
Flipp Dinero - If I Tell You
Jeremy Zucker - you were good to me
Thomas Rhett - Remember You Young
0171 - SMTHN RL
Pedro Capó - Calma - Alicia Remix
Cage The Elephant - Social Cues
Tyga - Goddamn
Chris Brown - Wobble Up (feat. Nicki Minaj & G-Eazy)
Becky G - La Respuesta
Jade Bird - Side Effects
Kevin Abstract - Baby Boy
Blake Rose - Best of Me
Alice Gray - Take Me to the Water
Zack Martino & Dyson - Mood
Kevin Morby - OMG Rock n Roll
Lolo Zouaï - Caffeine
No Rome - Cashmoney
X Ambassadors - HEY CHILD
Why Don't We - Don't Change
daydream Masi - Nightlife
Christian Paul - Strong
Catfish and the Bottlemen - Conversation
Dinah Jane - Heard It All Before
Au/Ra - Assassin
HEALTH - JUDGEMENT NIGHT
Olivia O'Brien - Just A Boy
Shy Glizzy - Bang Bang (feat. YoungBoy Never Broke Again)
Lil Peep - Star Shopping
ARTY - Avalanche
Ty James - Temptations
Jon Bellion - Heart Is Full - Recorded At Spotify Studios NYC
Octavian - Lit (feat. A$AP Ferg)
Hit-Boy - Family Not A Group
03 Greedo - Visions
Kash Doll - Hustla
Fitz and The Tantrums - Don't Ever Let Em
Sophia Scott - Drink Too Much Wine
Kelsey Lu - Foreign Car
Steve Aoki - Do It Again
Rotimi - Love Riddim
Jain - Gloria
Slow Pulp - High
Ross Copperman - Stars Are on Your Side
Christian French - breaking all the rules
ROMderful - 1 Missed Call
Tycho - Easy
Giant Rooks - 100 mg
Pivot Gang - Colbert
Modest Mouse - I'm Still Here
Gus Dapperton - Coax & Botany
Tech N9ne - Like I Ain't
The Vamps - Missing You
SYML - Bed
Loyle Carner - Angel
lilbootycall - Mariah
24hrs - Back Out (feat. Ty Dolla $ign & Dom Kennedy)
Sech - Otro Trago
Sheryl Crow - Redemption Day
Mat Kerekes - Autumn Dress
Liss - Talk to Me
Black Pumas - Colors
Kurt Vile - No Expectations - Recorded at Spotify Studios NYC
Tee Grizzley - God's Warrior
Two Friends - Dollar Menu (feat. Dani Poppitt)
Phangs - Au Revoir
Wingtip - Broken Bones
Jordyn Jones - think about u
Blossoms - I've Seen The Future
Divino Niño - Maria
Lizzy Land - Call Me
Darell - Fumeteo
Studio Black - On Your Own (feat. Dolapo)
Delilah Montagu - Temptation
Injury Reserve - Koruna & Lime
JD McCrary - Stole My Heart
Doc Robinson - Mt Hood
Devvon Terrell - Power Of 10
Donae'o - The Party's Over Here
Argonaut & Wasp - Composure
PLTS - Young Ones
Adam Sample - Not Tonight
The Dangerous Summer - Way DownEmbed"
